lema,nilai,nilai1
air,cairan jernih tidak berwarna tidak berasa dan tidak berbau yang terdapat dan diperlukan dalam kehidupan manusia hewan dan tumbuhan yang secara kimiawi mengandung hidrogen dan oksigen,benda cair yang biasa terdapat di sumur sungai danau yang mendidih pada suhu 100o C
air emas,metal cairan logam berwarna keemasan untuk melapisi perhiasan benda seni atau benda lainnya agar tampak lebih indah,lapis emas
air liur,air yang keluar dari kelenjar ludah dalam mulut,air ludah
air mandi,air untuk mandi,(ki) yang sudah menjadi kebiasaan
air mawar,air yang harum baunya (dari bunga mawar dsb),(Far) larutan jenuh minyak mawar dalam air
air payau,air yang tidak sedap rasanya akibat kelebihan kadar klorida,campuran antara air laut dan air tawar biasanya mempunyai kadar garam kurang dari 30 per mil
air susu,air yang keluar dari susu,campuran susu sapi tepung (bubuk) dengan air
air tawar,air biasa (bukan air manis bukan air asin),(Hid) air yang mempunyai kadar garam kurang dari 05%
ajang,tempat untuk makan sesuatu (piring dsb),medan
aji-aji,benda atau mantra yang dijaga dan dirawat secara baik karena dianggap dan dirasakan memiliki kekuatan gaib,n ikan laut Seriola nigrafasciata
ajnabi,(Ar) orang asing,(Isl) orang yang bukan sanak saudara dekat (hukumnya boleh kawin-mengawini antara laki- laki dan perempuan)
ajuan,hasil mengajukan,hasil pengajuan
ajung,→ jung,→ ajun
akademi,lembaga pendidikan tinggi kurang lebih tahun lamanya yang mendidik tenaga profesional,perkumpulan orang terkenal yang dianggap arif bijaksana untuk memajukan ilmu kesusastraan atau bahasa
akademikus,orang yang berpendidikan perguruan tinggi,anggota akademi
akademisi,orang yang berpendidikan tinggi,anggota akademi
akal,daya pikir (untuk memahami sesuatu dsb),pikiran
akar,bagian tumbuhan yang biasanya tertanam di dalam tanah sebagai penguat dan pengisap air serta zat makanan,(ki) asal mula
akar kucing,tumbuhan merambat panjang 220 m beraroma pahit dan tajam digunakan sebagai bumbu obat mag obat penurun panas,Toddalia aculeata
akar melata,akar tumbuhan yang merambat seperti ubi jalar yang semakin lama semakin banyak,(ki) bertambah lama bertambah banyak (tentang utang)
akar-akaran,sesuatu yang menyerupai akar,berbagai jenis akar
akhir,belakang,yang belakang sekali
aki,nenek laki-laki,kakek
akik,batu berwarna yang dijadikan permata cincin dsb,(Geo) batuan kalsedon (SiO2) yang tersusun berlapis-lapis dan berbagai warna
akikah,(Isl) penyembelihan ternak (seperti kambing atau lembu) sebagai pernyataan syukur orang tua atas kelahiran anaknya lazimnya dilaksanakan pada hari ketujuh,tradisi penyembelihan ternak pada upacara pencukuran rambut bayi ketika berusia tujuh hari sebagai pernyataan syukur
aklimatisasi,penyesuaian (diri) dengan iklim lingkungan kondisi atau suasana baru,(Tan) penyesuaian tumbuhan atau binatang pada iklim yang berlainan dari iklim tempat asal sebagai akibat pemindahan
akomodasi,sesuatu yang disediakan untuk memenuhi kebutuhan misal tempat menginap atau tempat tinggal sementara bagi orang yang bepergian,(Bio) penyesuaian mata untuk menerima bayangan yang jelas dari objek yang berbeda
akreditasi,pengakuan terhadap lembaga pendidikan yang diberikan oleh badan yang berwenang setelah dinilai bahwa lembaga itu memenuhi syarat kebakuan atau kriteria tertentu,pengakuan oleh suatu jawatan tentang adanya wewenang seseorang untuk melaksanakan atau menjalankan tugasnya
akrobat politik,pernyataan yang dikeluarkan hari ini bisa bertentangan dengan pernyataan beberapa saat kemudian,kader politik yang menyeberang ke partai lain
akrobatik,pertunjukan atau peragaan yang dilakukan seorang pemain akrobat,pertunjukan hebat dan mengagumkan berkenaan dengan ketangkasan
aksara,(Ling) sistem tanda grafis yang digunakan manusia untuk berkomunikasi dan sedikit banyaknya mewakili ujaran,jenis sistem tanda grafis tertentu misal aksara Pallawa aksara Inka
akselerasi,proses mempercepat,peningkatan kecepatan
aksen,(Ling) tekanan suara pada kata atau suku kata,pelafalan khas yang menjadi ciri seseorang
aksentuasi,(Ling) pemberian tekanan suara pada suku kata atau kata,pengutamaan
akseptasi,penerimaan,pembenaran
akseptor,orang yang menerima serta mengikuti (pelaksanaan) program keluarga berencana,(Ek) orang yang membayar jumlah wesel
akses,jalan masuk,(El) pencapaian berkas di disket untuk penulisan atau pembacaan data
aksesori,barang tambahan,alat ekstra
aksi,gerakan,tindakan
aksi polisional,aksi militer setempat yang dilakukan oleh tentara pemerintah tanpa pernyataan perang yang resmi terhadap orang yang dianggap melanggar keamanan dan ketertiban internasional,gerakan yang bermaksud memulihkan keamanan (istilah yang digunakan Belanda ketika memerangi Indonesia untuk mendapatkan kembali jajahannya)
aksiologi,kegunaan ilmu pengetahuan bagi kehidupan manusia,kajian tentang nilai khususnya etika
akson,(Anat) tonjolan serat saraf yang dimulai pada sel saraf,(Bio) taji sel saraf yang secara normal membawa rangsangan dari badan sel saraf lain
aktinium,(Kim) unsur logam radioaktif berderajat tiga menyerupai lantanum dalam sifat kimiawinya dan ditemukan pada bijih besi,unsur bernomor atom 8berlambang Ac dan bobot atom 2270278
aktivis,orang (terutama anggota organisasi politik sosial buruh petani pemuda mahasiswa wanita) yang bekerja aktif mendorong pelaksanaan sesuatu atau berbagai kegiatan dalam organisasinya,(Pol) seseorang yang menggerakkan (demonstrasi dsb)
aktivisme,kegiatan (para) aktivis,(Pol) doktrin yang menekankan perlunya tindakan kekerasan untuk mencapai tujuan politik
aktivitas,keaktifan,kegiatan
aktor,pria yang berperan sebagai pelaku dalam pementasan cerita drama dsb di panggung radio televisi atau film,orang yang berperan dalam suatu kejadian penting
aktuaria,pegawai asuransi yang bertugas melaksanakan perhitungan keuangan perusahaan,hal yang berhubungan dengan penafsiran sebelum penetapan asuransi
akuakultur,pembudidayaan air sehingga menghasilkan,pengusahaan laut untuk mendatangkan hasil (seperti ikan kerang rumput laut)
akuamarin,beril bening yang berwarna hijau kebiruan,warna hijau kebiruan
akuan,pekarangan atau ladang di Pulau Jawa bagian utara yang dipergunakan oleh seseorang untuk melakukan usaha atas dasar hak perbuatan untuk waktu tidak lebih dari satu tahun,yang telah diakui
Akuarius,(Astron) nama gugus bintang di belahan langit sebelah selatan khatulistiwa,(Astrol) zodiak ke-1yang digambarkan dengan orang menuangkan air sebagai lambang bagi orang yang lahir antara tanggal 20 Januari dan 1Februari
akuisisi,perolehan,pemerolehan
akulturasi,percampuran dua kebudayaan atau lebih yang saling bertemu dan saling mempengaruhi,(Antr) proses masuknya pengaruh kebudayaan asing dalam suatu masyarakat sebagian menyerap secara selektif sedikit atau banyak unsur kebudayaan asing itu dan sebagian berusaha menolak pengaruh itu
akumulasi,pengumpulan,penimbunan
akun,(Man) kumpulan catatan transaksi keuangan,buku
akuntan,(Man) ahli dalam bidang akuntansi yang bertugas menyusun membimbing mengawasi menginspeksi dan memperbaiki tata buku serta administrasi perusahaan atau instansi pemerintah,gelar akademis bagi lulusan perguruan tinggi jurusan akuntansi
akuntansi,(Man) teori dan praktik perakunan termasuk tanggung jawab prinsip standar kelaziman (kebiasaan) dan semua kegiatannya,hal yang berhubungan dengan akuntan
alahan,yang sudah dikalahkan,yang selalu kalah
alam,segala yang ada di langit dan di bumi (seperti bumi bintang kekuatan),lingkungan kehidupan
alamat,tanda,pertanda (tanda akan terjadi sesuatu)
alang,sesuatu yang melintang,kayu yang dipasang melintang (di antara dua tiang atau dua dinding perahu)
alangan,balok (kayu dsb) yang (dipasang) melintang untuk merintangi jalan (sungai dsb),busung pasir yang melintang di muara
alap-alap,(Zool) elang belalang pemakan burung kecil,Acipiter virgatus gularis
alarm,tanda bahaya berupa sinyal bunyi sinar dsb,alat mekanik yang dirancang untuk memperingatkan akan adanya bahaya atau kerusakan
alas,dasar,fondasi
alas kaki,tumpuan kaki (seperti tikar bangku kecil),penutup telapak kaki (kasut sandal terompah sepatu dsb)
alas tidur,tikar kain dsb yang digunakan sebagai lapik ketika tidur,(Tern) alas untuk tidur ternak yang diberikan pada waktu menjelang melahirkan atau pada ternak sakit biasanya berupa jerami atau rumput kering
alasan,dasar,asas
alat,benda yang dipakai untuk mengerjakan sesuatu,yang dipakai untuk mencapai maksud
alat pendengar,organ tubuh yang dipakai untuk mendengar,telinga
alat pendobrak,benda atau perkakas yang digunakan untuk merusakkan atau membuka secara paksa dinding (pagar pintu dsb) supaya dapat dilalui,(ki) pasukan (gerakan angkatan muda) yang berperan sebagai penembus pertahanan musuh tradisi lama dsb
alat penerangan,yang dipakai untuk menerangi (seperti lampu listrik),(ki) yang dipakai untuk memberi petunjuk atau penjelasan (seperti film radio televisi)
alat pengisap,mesin untuk mengisap (air debu kotoran udara dsb),(Bio) organ tubuh atau tumbuhan yang berfungsi mengisap zat makanan oksigen nitrogen mineral dsb
alat pengontrol,(Tek) perkakas untuk mengamat-amati atau mengawasi sesuatu,perkakas untuk mengatur
alat perekam,instrumen untuk merekam suara pada piringan hitam atau pita magnetik,instrumen untuk merekam gambar pada film atau televisi
alat vital,bagian mesin (pesawat pabrik dsb yang sangat penting fungsinya),(cak) alat kelamin
albedo,(Fis) fraksi (bagian) pantulan cahaya yang datang ke suatu permukaan,faktor pantulan (refleksi) sebuah permukaan seperti parafin terhadap neutron
album,buku tempat menyimpan kumpulan foto (potret) prangko dsb,kumpulan piringan hitam kaset lagu-lagu dsb
alergi,(Dok) perubahan reaksi tubuh terhadap kuman-kuman penyakit,keadaan sangat peka terhadap penyebab tertentu (zat makanan serbuk keadaan udara asap dsb) yang dalam kadar tertentu tidak membahayakan untuk sebagian besar orang
alfa,nama huruf pertama abjad Yunani,yang pertama
algojo,orang yang melaksanakan hukuman mati,orang yang bengis dan kejam (suka membunuh)
algoritme,prosedur sistematis untuk memecahkan masalah matematis dalam langkah-langkah terbatas,(Man) urutan logis pengambilan keputusan untuk pemecahan masalah
alienasi,keadaan merasa terasing (terisolasi),penarikan diri atau pengasingan diri dari kelompok atau masyarakat
alikuot,(Kim) bagian dari keseluruhan,adj (Mat) bertindak atau menjadi faktor bilangan lain
aliran,sesuatu yang mengalir (tentang hawa air listrik dsb),sungai kecil
alit,celak,peminggir untuk memperkuat bagian tepi sesuatu supaya teguh (misal pada tikar bakul kerai)
aliterasi,(Sas) sajak awal (untuk mendapatkan efek kesedapan bunyi),pengulangan bunyi konsonan dari kata-kata yang berurutan
alizarin,(Kim) senyawa yang terdiri atas kristal berwarna kuning kemerah-merahan,C6H4(CO)2C6H2(OH)2
alkali,(Kim) hidroksida dari logam Li Na K Rb dan Cs,zat yang bersenyawa dengan asam(an) yang merupakan garam digunakan dalam pembuatan sabun
alkalinitas,(Kim) jumlah konsentrasi ion karbonat dan bikarbonat terlarut biasanya dinyatakan dengan miliekuivalen per liter kemampuan air untuk menetralkan asam kuat,kualitas sifat basa
alkalometri,(Kim) penetapan alkaloid,penggunaan alkaloid untuk tujuan pengobatan
alkana,(Kim) senyawa hidrokarbon jenuh dengan rantai terbuka,CnH2n + 2
alkausar,sungai (telaga) di dalam surga,sesuatu yang banyak sekali
Alkitab,kitab suci agama Kristen terdiri atas Perjanjian Lama dan Perjanjian Baru,(Isl) Alquran
alkohol,(Kim) cairan tidak berwarna yang mudah menguap mudah terbakar dipakai dalam industri dan pengobatan merupakan unsur ramuan yang memabukkan dalam kebanyakan minuman keras,C2H5OH
alkoholisme,gaya hidup membudayakan alkohol,hal kecanduan alkohol
almanak,penanggalan (daftar hari minggu bulan hari-hari raya dalam setahun) yang disertai dengan data keastronomian ramalan cuaca dsb,buku berisi penanggalan dan karangan yang perlu diketahui umum biasanya terbit tiap tahun
almarhum,yang dirahmati Allah (sebutan kepada orang Islam yang telah meninggal),yang telah meninggal
alokasi,(Ek) penentuan banyaknya barang yang disediakan untuk suatu tempat (pembeli dsb),penjatahan
alopesia,kebotakan yang bukan karena pembawaan lahir,(Tern) kerontokan bulu sebagian atau menyeluruh pada tubuh hewan
alpaka,metal paduan nikel tembaga dan seng yang berkilap seperti perak,jenis hewan menyusui seperti domba berleher panjang yang diternakkan di Peru dan menghasilkan wol
alperes,(ark) pangkat di bawah letnan,wakil kepala daerah (zaman Kompeni)
altar,meja tempat kurban misa (di gereja Katolik),mazbah (tempat mempersembahkan kurban)
alter ego,(Lat Psi) aku yang kedua,orang yang membantu serta menemani sahabat karib (seorang tokoh) seseorang dalam segala hal dan keadaan
alternator,generator elektris yang digunakan untuk menghasilkan arus bolak-balik,dinamo
alto,(Mus) nada yang mencakup suara terendah wanita dan nada suara tertinggi pria (antara sopran dan tenor),orang (penyanyi) bersuara antara sopran dan tenor
altruisme,paham (sifat) lebih memperhatikan dan mengutamakan kepentingan orang lain (kebalikan dari egoisme),(Antr) sikap yang ada pada manusia yang mungkin bersifat naluri berupa dorongan untuk berbuat jasa kepada manusia lain
alu,alat untuk menumbuk padi dsb yang dibuat dari kayu,antan
aluminium,logam putih perak ringan dan mulur,unsur dengan nomor atom 1lambang Al dan bobot atom 269815
alur,lekuk memanjang (di tanah kayu sungai bagian tubuh dsb),jalan (aturan adat) yang benar
aluran,lekuk memanjang di sungai dsb,silsilah kekeluargaan susur galur
aluvium,(Geo) zaman geologi yang paling muda dari zaman kuarter atau zaman geologi yang sekarang,lempung pasir halus pasir kerikil atau butir batuan lain yang terendapkan oleh air mengalir (banjir arus sungai arus laut)
alveolus,rongga atau ceruk kecil seperti rongga dalam rahang tempat akar gigi tertanam,kantong udara dalam paru-paru
ama,→ hama,l (cak) sama
amah,orang perempuan (Cina) yang bekerja sebagai pembantu rumah tangga,babu
amal,perbuatan (baik atau buruk),perbuatan baik yang mendatangkan pahala (menurut ajaran agama Islam)
amalan,perbuatan (baik),perbuatan bacaan yang harus dikerjakan dalam rangkaian ibadah seperti dalam ibadah haji dan salat
amanah,kerabat,sesuatu yang dipercayakan (dititipkan) kepada orang lain
amanat,pesan,perintah (dari atas)
amandel,(Dok) alat tubuh menyerupai kelenjar yang terdapat di kiri kanan tekak (ada dua buah),jaringan menyerupai sel limfa yang membesar
amar,perintah,suruhan
ambal,permadani,v (kl) → berambal-ambalan
ambang,balok yang melintang (antara dua tiang pintu atau jendela),kayu palang (antara tiang dsb)
ambar,damar yang keras seperti batu yang terdapat di dasar laut dan berbau harum (ada yang berasal dari perut ikan laut),(Kim) resin fosil yang digunakan dalam perhiasan zat celup dan pernis
ambiguitas,sifat atau hal yang bermakna dua,kemungkinan yang mempunyai dua pengertian
ambing,(Dok) kelenjar dalam payudara yang mengeluarkan air susu,(Tern) kelenjar berbentuk kantong yang berputing dua atau lebih
amebosit,(Zool) sel jaringan pengikat primitif yang mampu bergerak seperti ameba yang terdapat pada jaringan atau cairan tubuh hewan yang tidak mempunyai tulang belakang,sel ameboid
ameliorasi,(Tan) cara berusaha untuk memperoleh kenaikan produksi serta menurunkan biaya pokok (misal dengan perbaikan tanah),(Ling) peningkatan nilai makna dari makna yang biasa atau buruk menjadi makna yang baik
amendemen,usul perubahan undang-undang yang dibicarakan dalam Dewan Perwakilan Rakyat dsb,penambahan pada bagian yang sudah ada
amfibi,binatang berdarah dingin yang dapat hidup di air dan di darat misal katak,benda yang dapat berfungsi di air dan di darat
amfiteater,arena pertunjukan pada zaman Romawi yang berbentuk lonjong atau bulat tanpa atap dengan tempat duduk penonton bertingkat-tingkat,bangunan yang berbentuk bundar atau lonjong dengan tempat yang digunakan untuk pertandingan atau pertunjukan umum
amil,pembantu tidak tetap pada kantor urusan agama dalam hal pernikahan dan hal-hal yang berkenaan dengan urusan agama,siput laut
amir,panggilan kepada anak raja,pemimpin yang memerintah sebuah negeri
amit,→ pengamitan,izin
amoi,anak perempuan Cina,panggilan kepada anak perempuan Cina
amortisasi,(Huk) penghapusan atau pernyataan tidak berlaku terhadap surat-surat berharga yang nilainya telah dibayarkan kembali atau telah hilang,penyusutan secara berangsur-angsur dari utang atau penyerapan nilai kekayaan yang tidak berwujud dan bersifat susut seperti kontrak atau jatah keuntungan (royalti) ke dalam pos biaya selama jangka (waktu) tertentu
ampelas,pohon yang daunnya kasap untuk menggosok (melicinkan) kayu dsb,Ficus ampelas
ampere,satuan ukuran arus listrik,(cak) alat untuk mengukur (kekuatan) arus listrik
amplifikasi,pembesaran perluasan atau pengembangan (tentang jumlah kepentingan dsb),(Filol) pengembangan naskah berupa uraian penjelasan atau penggunaan banyak kata oleh penyalin (pembaca) kemudian masuk ke salinan naskah berikutnya
amplitudo,(Fis) simpangan yang paling jauh dari titik keseimbangan pada getaran,(Geo) selisih suhu tahunan atau suhu harian
amplop,sampul surat,(ki) uang sogok
ampula,(Zool) pembesaran berbentuk pundi-pundi pada sebuah saluran,kantong membran berbentuk bola lampu atau perluasan suatu tabung
ampun,pembebasan dari tuntutan karena melakukan kesalahan atau kekeliruan,maaf
ampunan,ampun,maaf
amputan,kemaluan (perempuan),gundik
amunisi,bahan pengisi senjata api (seperti mesiu peluru),bahan (alat) peledak yang ditembakkan kepada musuh (seperti bom granat roket)
anabolisme,(Bio) pembentukan zat organik kompleks dari yang sederhana,asimilasi zat makanan oleh organisme untuk membangun atau memulihkan jaringan dan bagian-bagian hidup lainnya
anafora,(Ling) pengulangan bunyi kata atau struktur sintaktis pada larik-larik atau kalimat-kalimat yang berturutan untuk memperoleh efek tertentu,hal atau fungsi merujuk kembali pada sesuatu yang telah disebutkan sebelumnya dalam wacana (yang disebut anteseden) dengan substitusi misal nya dalam Pak Karta rumahnya terbakar kata nya menunjuk kepada Pak Karta
anaglif,hiasan ukiran dengan relief dangkal,gambar tiga dimensi
anak,keturunan yang kedua,manusia yang masih kecil
anak bangsawan,anak komidi,anak keturunan keluarga ningrat (bangsawan raja)
anak bawang,(ki) peserta bermain yang tidak masuk hitungan (hanya sebagai penggenap atau ikut-ikutan saja),anak kecil yang masih belum mengerti apa-apa
anak bersagar,anak yang pada kuku tangannya terdapat garis hitam seperti sagar,(ki) anak yang selalu sakit-sakitan atau yang saudara-saudaranya selalu meninggal
anak buyung,perempuan bunting (untuk memperolok-olokkan),muncikari
